name,postal_code,stars,review_count
Local Breeze,85003,4.0,156.0
Even Stevens Sandwiches,85003,4.0,244.0
Centurion,85003,4.0,210.0
Thai Elephant,85003,3.5,104.0
Grabbagreen Downtown - Phoenix,85003,3.5,170.0
Oliver's Sophisticated Bean,85004,5.0,101.0
Reliable Couriers,85004,5.0,7.0
Ed's,85004,5.0,3.0
Smart Cookie,85004,5.0,4.0
Lacuna Kava Bar,85004,5.0,28.0
The Fresh Shave,85004,5.0,12.0
ASU Kitchen Cafe,85004,5.0,3.0
Sauvage Bottle Shop,85004,5.0,14.0
Karen Biscotti,85004,5.0,5.0
Naturally Sweet,85004,5.0,13.0
Rise Craft Coffee + Eatery,85004,5.0,34.0
Tom/Cen Cafe,85004,5.0,8.0
Songbird Coffee & Tea House,85004,4.5,135.0
Pizza People Food Truck,85004,4.5,37.0
The Dressing Room,85004,4.5,591.0
The Kettle Black Kitchen & Pub,85004,4.5,863.0
Pomo Pizzeria - Phoenix,85004,4.5,798.0
Fry’s Food and Drug,85004,4.5,7.0
Mahon's Sandwich Shop,85004,4.5,13.0
Mod,85004,4.5,22.0
The Velo,85004,4.5,45.0
Songbird Coffee & Tea House,85004,4.5,244.0
FUTURO,85004,4.5,68.0
Starbucks,85004,4.5,31.0
Forno 301,85004,4.5,526.0
The Courtyard Cafe at Heard Museum,85004,4.5,39.0
Food Truck Friday,85004,4.5,49.0
Red Hut Coffee,85004,4.5,55.0
Fillmore Coffee,85004,4.5,185.0
Five Star Cafe,85004,4.5,3.0
Radish,85004,4.5,87.0
Kings Beer & Wine,85004,4.5,126.0
Taqueria La Hacienda,85004,4.5,104.0
Teaspressa,85004,4.5,30.0
Walrus & The Pearl,85004,4.5,67.0
Arizona Matsuri,85004,4.5,43.0
Phoenix Art Museum,85004,4.5,406.0
Nook Kitchen,85004,4.5,354.0
Be Coffee + Food + Stuff,85004,4.5,397.0
The Phoenix Cheesesteak Co,85004,4.5,42.0
Poppy,85004,4.5,7.0
Tru Burger,85004,4.5,101.0
Miami Cafe,85004,4.5,11.0
Green New American Vegetarian,85004,4.5,970.0
8th Day Coffee & Culture,85004,4.5,16.0
The Meat Shop,85004,4.5,107.0
The Larry,85004,4.5,69.0
BBQ Daddy Special Event Catering,85004,4.5,30.0
Zookz Sandwiches,85004,4.5,85.0
The Farish House,85004,4.5,70.0
Press Coffee - Muse,85004,4.5,130.0
Dapper & Stout Coffee Company,85004,4.5,17.0
Bicycle Nomad,85004,4.5,48.0
JoBot Coffee & Diner,85004,4.0,426.0
Corduroy,85004,4.0,155.0
One Coffee Co,85004,4.0,126.0
Sens Asian Tapas & Sake Bar,85004,4.0,233.0
Guacamoles Fresh Mexican Grill,85004,4.0,103.0
Tea & Toast,85004,4.0,157.0
Paz Cantina,85004,4.0,263.0
The Roosevelt,85004,4.0,212.0
Habanero's Mexican Grill,85004,4.0,112.0
Adobo Dragon,85004,4.0,102.0
Basilic Vietnamese Kitchen,85004,4.0,95.0
Trapp Haus BBQ,85004,4.0,402.0
Commander Hamburger,85004,4.0,9.0
Fry's Food Stores,85004,4.0,10.0
Kaleidoscope Juice,85004,4.0,198.0
La Piazza PHX,85004,4.0,347.0
The Local,85004,4.0,61.0
Smooth Brew On Roosevelt,85004,4.0,14.0
Deli Tavern,85004,4.0,87.0
Sanctum,85004,4.0,19.0
Hey Joe! Filipino Street Food Truck,85004,4.0,55.0
Chambers on First,85004,4.0,96.0
Melt,85004,4.0,380.0
Ahipoki,85004,4.0,54.0
Engrained Cafe,85004,4.0,10.0
Phoenix Public Market Cafe,85004,4.0,1131.0
The Arrogant Butcher,85004,4.0,2358.0
Nobuo At Teeter House,85004,4.0,489.0
Province Urban Kitchen & Bar,85004,4.0,253.0
The Downtown Deli,85004,4.0,61.0
Blue Hound,85004,4.0,689.0
Breakfast Club- CityScape,85004,4.0,667.0
Mancuso's Restaurant,85004,4.0,189.0
Paradise Bakery,85004,4.0,7.0
Pizza People Pub,85004,4.0,428.0
"Arcadia Farms, Heard Museum",85004,4.0,7.0
Aside of Heart,85004,4.0,55.0
Durant's,85004,4.0,988.0
Yogurt Time Downtown Hangout,85004,4.0,71.0
Dust Cutter,85004,4.0,109.0
Conspire,85004,4.0,54.0
Switch,85004,4.0,883.0
Pizzeria Bianco,85004,4.0,2527.0
Matt's Big Breakfast,85004,4.0,698.0
Smoothie King,85004,4.0,29.0
Fired Pie,85004,4.0,142.0
Cut Above Cafe,85004,4.0,16.0
Foxy Fruit Acai Bowls & Smoothies,85004,4.0,35.0
Historic Heritage Square,85004,4.0,40.0
Carly's Bistro,85004,4.0,418.0
Hungry Howie's Pizza,85004,4.0,9.0
Papa Christo's,85004,4.0,41.0
Phoenix Public Market,85004,4.0,186.0
Chico Malo,85004,4.0,547.0
SpoonZ Cafe,85004,4.0,9.0
Giant Coffee,85004,4.0,363.0
Belinda's Pickles,85004,4.0,5.0
Chloe's Corner,85004,4.0,98.0
The Pie Hole,85004,4.0,16.0
Duck & Decanter,85004,4.0,59.0
Royal Coffee Bar,85004,4.0,40.0
Canyon Cafe,85004,4.0,436.0
Powered Up Nutrition,85004,4.0,35.0
Matt's Big Breakfast,85004,4.0,2037.0
Enjoy Sushi,85004,4.0,28.0
Rodiberto's Mexican Food,85004,4.0,43.0
Royal At The Market,85004,4.0,42.0
Kincaid's Classic American Dining,85004,3.5,158.0
The Turf Public House,85004,3.5,176.0
Coach's Corner Grill,85004,3.5,201.0
PastaBAR,85004,3.5,113.0
DeSoto Central Market,85004,3.5,316.0
District American Kitchen and Wine Bar,85004,3.5,461.0
Thai Hut,85004,3.5,172.0
The Rose and Crown,85004,3.5,355.0
The Brickhouse,85004,3.5,7.0
Baja Fresh Mexican Grill,85004,3.5,22.0
City Cafe,85004,3.5,3.0
The Draft Room,85004,3.5,75.0
Taco Bell Cantina,85004,3.5,28.0
Arcadia Farms Cafe,85004,3.5,27.0
Circa 1900,85004,3.5,5.0
Bonjour Vietnam,85004,3.5,63.0
Athenian Express,85004,3.5,70.0
Tacolandia,85004,3.5,3.0
PikFly,85004,3.5,29.0
The Counter,85004,3.5,378.0
Oakville Grocery,85004,3.5,17.0
Starbucks,85004,3.5,47.0
The Strand,85004,3.5,374.0
Tower Bistro,85004,3.5,8.0
2601 on Central,85004,3.5,80.0
Bar Smith,85004,3.5,142.0
Nachobot,85004,3.5,27.0
Compass Arizona Grill,85004,3.5,692.0
Milk Bar,85004,3.5,98.0
The Nile Cafe,85004,3.5,11.0
SpoonZ Cafe,85004,3.5,63.0
Squid Ink Sushi - Phoenix,85004,3.5,705.0
Paz Cantina,85004,3.5,220.0
Dipstick Waffles & Bakery,85004,3.5,5.0
Alice Cooperstown,85004,3.5,516.0
Tom's Tavern,85004,3.5,95.0
Boka Pizza,85004,3.5,72.0
Palette,85004,3.5,57.0
Provecho,85004,3.5,55.0
The Corner CityScape,85004,3.5,64.0
Hanny's,85004,3.5,884.0
Bowl of Greens Fine Salads,85004,3.5,164.0
Hsin Cafe,85004,3.5,71.0
Subway Restaurants,85004,3.5,18.0
Lo-Lo's Chicken & Waffles,85004,3.5,49.0
Viad Tower Restaurants,85004,3.5,6.0
The Grand,85004,3.5,329.0
Cucina Cucina Modern Italian,85004,3.5,83.0
Cycle,85004,3.0,13.0
Cafe Roma,85004,3.0,45.0
Vitamin T,85004,3.0,58.0
Downtown Pizza Lounge,85004,3.0,39.0
Hotel San Carlos,85004,3.0,152.0
Paradise Bakery,85004,3.0,10.0
Tee Pee Tap Room,85004,3.0,63.0
Yogis Grill,85004,3.0,78.0
Coach & Willies,85004,3.0,75.0
Einstein Bros Bagels,85004,3.0,55.0
Pallets Food and Bar,85004,3.0,89.0
Legends Sports Bar & Restaurant,85004,3.0,16.0
Bosa Donuts,85004,3.0,9.0
The Old Spaghetti Factory,85004,3.0,549.0
Central Cafe,85004,3.0,6.0
Cold Stone Creamery,85004,3.0,44.0
Thai'd Up,85004,3.0,99.0
CityScape- Phoenix,85004,3.0,73.0
Brick,85004,3.0,162.0
My Big Fat Greek Restaurant,85004,3.0,116.0
Carmine's Little Italy Pizza & Pasta,85004,3.0,4.0
Ichi Ban Japanese Restaurant & Sushi,85004,3.0,60.0
Networks,85004,3.0,147.0
Taco Bell,85004,3.0,29.0
First Watch,85004,3.0,22.0
Subway Restaurants,85004,3.0,13.0
Teeter House Tea Room,85004,3.0,12.0
Omoide Sushi & Noodle Bar,85004,3.0,156.0
Hard Rock Cafe,85004,3.0,256.0
Dunkin',85004,2.5,39.0
Stoudemire's Downtown,85004,2.5,16.0
Bubba Phatz,85004,2.5,7.0
Starbucks,85004,2.5,34.0
Pizza Hut,85004,2.5,32.0
Steve's Greenhouse Grill,85004,2.5,459.0
Burger King,85004,2.5,4.0
Safeway,85004,2.5,115.0
Domino's Pizza,85004,2.5,45.0
Jimmy John's,85004,2.5,50.0
Starbucks,85004,2.5,13.0
Chick-fil-A,85004,2.5,38.0
Phoenix Pizza Festival,85004,2.5,14.0
Einstein Bros Bagels,85004,2.5,86.0
Corner Bakery Cafe,85004,2.5,199.0
Double Headers,85004,2.5,8.0
Real Wild And Woody Beer Festival,85004,2.5,3.0
Carl's Jr.,85004,2.5,31.0
Roosters Kountry Kitchen,85004,2.5,5.0
Pizzeria Uno,85004,2.5,18.0
Taylor Place Cafeteria,85004,2.0,5.0
Phoenix Food Truck Festival,85004,2.0,12.0
Jackson's On 3rd,85004,2.0,11.0
Hooters,85004,2.0,237.0
Subway Restaurants,85004,2.0,23.0
TGI Fridays,85004,2.0,31.0
Big Dawgs,85004,2.0,11.0
Fresh Gourmet To Go,85004,2.0,4.0
China Inn,85004,2.0,3.0
Starbucks,85004,2.0,25.0
Jordan's Mexican Food,85004,2.0,4.0
America's Taco Shop,85004,2.0,9.0
Flavor Chalet,85004,2.0,4.0
Jack in the Box,85004,1.5,13.0
Circle K,85004,1.0,3.0
Deseo Coffee Shack,85006,5.0,14.0
ACR Elotes,85006,5.0,7.0
Buzz Beans,85006,5.0,13.0
Giving Tree Cafe,85006,5.0,67.0
Full Spectrum Artworks,85006,5.0,29.0
Alamo Liquor & Food,85006,5.0,4.0
Silent Flight Coffee,85006,5.0,12.0
