business_id,name,city,state,postal_code,stars,review_count,is_open
32yrKnrLQ4bCp3MlAJfwZA,Mama Bears Espresso Bar,Phoenix,AZ,85016.0,4.5,3.0,1
XVseYWpl0pFWgFybZEpKug,3rd St Sushi & Bar,Phoenix,AZ,85007.0,3.5,3.0,0
YmIYjZGnuZzqVPkFBF4Omw,Gypsy Bar,Phoenix,AZ,85003.0,3.5,141.0,1
WrZCaSm4QX6HTzyVCmOdWw,State 48 Brewery DTPHX,Phoenix,AZ,85003.0,4.0,140.0,1
CR-gLUcudD0AQr7dzASgLA,Two Sisters' Thai Food,Phoenix,AZ,85022.0,4.0,80.0,0
_likkCtISrdc6OnUO6wpCA,Sub Factory,Phoenix,AZ,85016.0,3.0,9.0,0
VbuqVOVUT4HYXKI6B_S59A,Thirteenorth Grille,Phoenix,AZ,85020.0,4.0,255.0,0
fJmg_GwsLMXXS26zKTITiQ,Armando's Mexican,Phoenix,AZ,85015.0,3.0,16.0,1
JPjckeTpc-Y4dXEPS17JiA,Pizza Hut,Phoenix,AZ,85028.0,1.5,9.0,0
A6upLxml9nNaVT_V3oIUkg,Cracker Barrel Old Country Store,Phoenix,AZ,85027.0,3.5,185.0,1
C2OrJwFnulmIRYuqvzBKdg,Subway Restaurants,Phoenix,AZ,85023.0,3.0,4.0,1
Q0HAhn2Pi2afILbtiPvlIQ,Ahwatukee Country Club,Phoenix,AZ,85044.0,2.5,35.0,1
AzXrAHkynCzlZVKF7-1uXw,Taylor Place Cafeteria,Phoenix,AZ,85004.0,2.0,5.0,1
pOOqM-VIRFQrai15OBRxsA,Starbucks,Phoenix,AZ,85027.0,3.5,3.0,0
Mgvk_jOcpmE7OWbLQRGx9Q,Subway Restaurants,Phoenix,AZ,85050.0,3.0,14.0,1
iUbDIvZ0FuATXmnCkk0KeQ,Mariscos Ensenada 7,Phoenix,AZ,85029.0,3.0,6.0,0
-K3kqmykKlhlB4arCsLHOw,Bawarchi Indian Cuisine,Phoenix,AZ,85032.0,3.0,125.0,0
uNxKxgqGw9Fh8ukf-CvbWg,Basilic Vietnamese Kitchen,Phoenix,AZ,85004.0,4.0,95.0,1
vjTVxnsQEZ34XjYNS-XUpA,Wetzel's Pretzels,Phoenix,AZ,85032.0,4.0,10.0,1
Z8rT-KsNYYRBVK8j6x35FQ,Mediterranean House,Phoenix,AZ,85014.0,4.0,10.0,0
yJkYsl0hOlG2-ITBe16ZIA,The Yacht Club,Phoenix,AZ,85018.0,4.0,81.0,0
rUZwudn2gvPOTKK2KIPU_Q,Track Liquors,Phoenix,AZ,85023.0,5.0,,1
B83BMC6i__MS7gRFJjC9wQ,Esso Coffeehouse,Phoenix,AZ,85014.0,4.5,70.0,1
dnBQZpWTyJzTe0QJf7YK5w,Harvey's Wineburger,Phoenix,AZ,85016.0,4.0,339.0,1
hU-I172AdpBahJqP-GTSbA,Lifeboat Coffee,Phoenix,AZ,85020.0,4.5,42.0,1
JOGxap8yWFhyvai88YVezg,Panini Cafe & Bakery,Phoenix,AZ,85020.0,4.0,24.0,0
WWWufR135GEXKynwYjLdGg,Pieology Pizzeria,Phoenix,AZ,85022.0,4.0,103.0,0
qjO0FtFXalKSVZLVq-XewQ,Taco Mich,Phoenix,AZ,85006.0,3.5,102.0,1
34VuBMNaG9nJiyqsnoEgPg,Nori Sushi - Phoenix,Phoenix,AZ,85050.0,4.0,447.0,1
3ROfirr1gM9ij02nIICqjw,Hyderabad Rasoi,Phoenix,AZ,85032.0,3.5,55.0,1
D7-T6DRpjApGNBQZ3Hq-fQ,Pocho's,Phoenix,AZ,85008.0,4.0,19.0,1
o99gqWaotoeQKe0dXin-mg,O'Connor's Pub,Phoenix,AZ,85021.0,4.0,42.0,1
dhCpflFz5Z_RRTjkl-OPFA,Juice Paradise,Phoenix,AZ,85048.0,5.0,3.0,1
RvrHLdR_4-iYcDY0_xsFIQ,Mariscos Ensenada,Phoenix,AZ,85009.0,4.5,3.0,1
Q6LaPROCzSjCx5IWzlefew,Lotus International Market,Phoenix,AZ,85023.0,3.0,16.0,1
XLeEhsUbkiUMv8yxvageyw,Jack in the Box,Phoenix,AZ,85023.0,2.0,17.0,1
EE_CKAAq7_oL7jfxmUKhuw,Applebee's Grill + Bar,Phoenix,AZ,85008.0,2.5,190.0,1
XOqoNwn1igQRhb3mCGo7BA,Sushi Patron,Phoenix,AZ,85031.0,2.5,58.0,1
tYRXT7VdchMAvOUU01emMA,Hong Kong Express Chinese Food,Phoenix,AZ,85009.0,2.5,3.0,0
xImiQIhC2ZBDEy7LhpQ4nQ,Cowboy Ciao,Phoenix,AZ,85034.0,3.5,489.0,1
roz-ed8kvBF6fwKBPeJ49Q,Tutti Santi,Phoenix,AZ,85020.0,4.5,334.0,1
dAvcyy08flqhFIzOIdg2UA,Fish Market Restaurant,Phoenix,AZ,85016.0,3.0,32.0,0
SdqbbG6kJNfxtOc9tz7rJw,Greenway Liquor,Phoenix,AZ,85053.0,2.5,10.0,1
Q5fzK17mAGIj4VC9QlaB1Q,Dairy Queen,Phoenix,AZ,85016.0,3.0,3.0,0
nKcAkb0sKbAyDqu3Qgh_mA,Water and Ice Ahwatukee,Phoenix,AZ,85044.0,4.5,11.0,1
9JTkh1D7u9fRBohglQRL0w,Phoenix All-stars Sports Bar & Grill,Phoenix,AZ,85034.0,2.0,5.0,0
7obotzA7aLL9kAUIUWQcJg,Los Kikos,Phoenix,AZ,85027.0,4.0,7.0,0
kWkW6vVePpBox_fKfGgPjQ,Pan Asia Sushi Chinese Fusion,Phoenix,AZ,85042.0,3.0,91.0,0
1jaJZ539aulplpOA9xAClg,Berto's Gelato & Sorbet,Phoenix,AZ,85027.0,4.0,4.0,1
V_RD57ea9ATcoryET1vTkA,Woody's Macayo,Phoenix,AZ,85012.0,3.5,119.0,1
Y26ixQb6rpJzdky0WdTjrA,Sonic Drive-In,Phoenix,AZ,85035.0,2.0,26.0,1
pTr0UQn7oWW4wxF6qPEXdw,Mein Man,Phoenix,AZ,85053.0,5.0,9.0,1
Q_jyWN0oQPaAWO5PYC-8PA,Sizzler,Phoenix,AZ,85031.0,3.0,46.0,1
JcsZvx-4yovFgCXOfd6KMg,Sam's Deli Mart,Phoenix,AZ,85012.0,3.0,4.0,0
BaVtTt9pBoI8rrN35tsj_g,Olive Garden Italian Restaurant,Phoenix,AZ,85051.0,3.5,180.0,1
81e1OAYxYZt7XNdUFTKNwQ,Denny's,Phoenix,AZ,85086.0,3.0,56.0,1
AYQbwuZ0tM620mrAw2JTcA,Circle K,Phoenix,AZ,85017.0,1.5,3.0,1
tOUFYUVuhdvtHVSrYu2hwA,Jack in the Box,Phoenix,AZ,85012.0,3.0,17.0,1
hXPUQ_LixjhuUiD33mN6Vg,Jose Roux,Phoenix,AZ,85034.0,3.0,69.0,0
46hnat0aLao-qYWZkN9aBg,Los Dos Molinos,Phoenix,AZ,85042.0,4.0,463.0,1
tI7dXg2UboJozj28v7sjLw,Culvers,Phoenix,AZ,85024.0,3.0,90.0,1
hgtLScZVfyxSg351g0D0dA,Trapp Haus BBQ,Phoenix,AZ,85004.0,4.0,402.0,1
zm_lSDYuHdRyzc3c3eCayQ,The Hub Deli,Phoenix,AZ,85048.0,4.0,15.0,0
wRnHhHISzEjB3jxwGtTpXg,Albertsons-Osco,Phoenix,AZ,85032.0,2.5,5.0,0
MvE4kWvm2n2JtO85c53IGQ,Walgreens,Phoenix,AZ,85021.0,2.5,,1
z01_gDUfmedOuX2UZYF33w,E-Z Buffet,Phoenix,AZ,85032.0,2.0,26.0,0
fvCiBVBsoY8ixMJ7Esk33w,Whataburger,Phoenix,AZ,85053.0,3.0,63.0,1
ETTzxqOcPuxMqV37y1uhdg,Giant Rustic Pizza,Phoenix,AZ,85018.0,4.0,171.0,1
lcarrupLCJ-a9LGkTUtMIw,Cycle,Phoenix,AZ,85004.0,3.0,13.0,0
5OWwRvNovyRg26J4aP4DTw,Jana's Bakery,Phoenix,AZ,85022.0,4.0,35.0,1
02ooNKJDjsE50KfmL0Rqdw,KFC,Phoenix,AZ,85016.0,2.0,19.0,0
ul-88RX3uJyMSbLYGHkNKA,O2 Juice Bar and Spa,Phoenix,AZ,85310.0,3.0,61.0,0
MZwBo-3MTbxTln2YmyqOHQ,Crab Zone,Phoenix,AZ,85051.0,2.5,26.0,0
J0rx5BsejdRTXU8UB-MJSA,Cafe Roma,Phoenix,AZ,85004.0,3.0,45.0,0
Z8I0zGeV6hHgZ1fOXmDv5g,Carniceria Los Reyes,Phoenix,AZ,85006.0,4.5,6.0,1
cxlxJpw_vTzw7bXJq6Dbsg,Outback Steakhouse,Phoenix,AZ,85021.0,3.5,175.0,1
5Je2-6KDxPQJZdItfo1ngg,China City Super Buffet,Phoenix,AZ,85031.0,2.5,10.0,0
LoCnjxSpQBoFLNWAmbmTqw,Carl's Jr.,Phoenix,AZ,85015.0,2.0,42.0,1
lk-UF5MrrRt-nKCN7et60A,Peter Piper Pizza,Phoenix,AZ,85042.0,3.0,15.0,1
JLWd6yDyt9oEp70_4KqYeg,Cafeteria on Thomas,Phoenix,AZ,85013.0,4.5,28.0,0
E1SXF31D-63sBzvCguc0LQ,Keep It Simple,Phoenix,AZ,85023.0,2.5,7.0,0
0lSeS_GwMP6x57_Eu2pkfw,One Stop Nutrition,Phoenix,AZ,85018.0,4.5,32.0,1
vn6L2cywiesnogJF_3o7PA,Sprouts Farmers Market,Phoenix,AZ,85020.0,4.0,80.0,1
m3ENrv6bKW8h44bMyBAOOQ,Subway Restaurants,Phoenix,AZ,85085.0,3.5,21.0,1
AS0DHJWaQTw2C6M1u6nuuA,Subway Restaurants,Phoenix,AZ,85041.0,2.5,9.0,1
TAFRSKLcv56376KyBXr2BA,Greek Patio,Phoenix,AZ,85073.0,3.0,22.0,0
gJWdhHT0E0LPxXxARWzB9A,Hempful Farms Cafe,Phoenix,AZ,85023.0,5.0,5.0,1
Ko1VahSCJYqdGs-ElvA_BA,Cafe On The Way,Phoenix,AZ,85034.0,5.0,4.0,1
e2DH7QQssuGqwLltAI5pEg,Humphrey's Kitchen & Koffee,Phoenix,AZ,85016.0,4.5,23.0,1
vEOBXFIO6jd5sWRw4_Y5eQ,Starbucks,Phoenix,AZ,85007.0,3.5,,1
de1OhE-0BHuoI9pzXBKxkQ,Arby's,Phoenix,AZ,85015.0,4.0,16.0,1
wO_mCbiatcDhjWzsF19GvA,Bar Maximus,Phoenix,AZ,85003.0,3.5,20.0,0
RZjCS8U_UuZaAmo5YawkOg,Hal O Penos Mexican Cafe,Phoenix,AZ,85051.0,4.5,17.0,0
MFuhou9rtGLGfznSzn0Mvg,Daily Jam,Phoenix,AZ,85054.0,3.5,124.0,1
zTqG5kphUBoFEApnPqeGjA,Ray's Pizza,Phoenix,AZ,85086.0,3.0,23.0,0
NPQBXnKDzAFimQPT7SSEAw,Pigtails Desert Ridge,Phoenix,AZ,85054.0,4.5,68.0,1
bT8rUptbdDGVwdTIMYz8Ow,TGI Friday's,Phoenix,AZ,85073.0,1.0,3.0,0
fofvWyHAEq6Yew-Je4bcgw,Ritz Asia,Phoenix,AZ,85032.0,3.0,19.0,0
2lmM-jzCA4rOWuvo2fKBPQ,McDonald's,Phoenix,AZ,85353.0,2.0,22.0,1
rCoAHVl3tXXAE_Kl4MVgWg,Thai Basil,Phoenix,AZ,85012.0,3.5,246.0,1
xpHrwe2X-X9K81TEz_W9Cw,Phoenix Food Truck Festival,Phoenix,AZ,85004.0,2.0,12.0,0
5JHujF737wC4eZ9G3dhDNw,Dunkin',Phoenix,AZ,85004.0,2.5,39.0,1
c79drEBxcX3LsiK6AFgGew,Castillon Family Mexican Restaurant,Phoenix,AZ,85032.0,4.5,19.0,0
URf61OrDNrpWICL3XHXvmA,Celsius Sushi Bar,Phoenix,AZ,85050.0,4.0,25.0,0
pT6TCNUSRdswUZ8wQ5JEpA,Luv Me Tender BBQ,Phoenix,AZ,85016.0,2.5,3.0,1
OxVp28KMrUC9DRimFVdacQ,Ahwatukee Auto Spa,Phoenix,AZ,85048.0,4.0,67.0,1
HXdPqrO27tANiLpbCe9BVA,Jack in the Box,Phoenix,AZ,85027.0,2.0,23.0,1
ABDFv4oIBA72UkNwVI_uBw,Pita Bistro,Phoenix,AZ,85012.0,4.0,68.0,1
MKvRBwtfIcH9206rzBeVxg,Jimmy John's,Phoenix,AZ,85013.0,2.5,28.0,1
XPgurhZwZgNAwHcrpoe3Zg,Niccoli's Italian Grocery & Deli,Phoenix,AZ,85016.0,4.5,188.0,1
MpvvsMZOjMME6aMDCnMjQw,Jackson's On 3rd,Phoenix,AZ,85004.0,2.0,11.0,0
F53MSa5SYzO9BG8c_JhskQ,Pho Viet,Phoenix,AZ,85051.0,2.5,3.0,0
azsUYZWvtr4dDIOJbGCxhw,The Baker's Daughter,Phoenix,AZ,85053.0,5.0,17.0,0
19f_Hyq38r6ycACRw-JG6w,Lydia's La Canasta Mexican Food,Phoenix,AZ,85009.0,3.5,43.0,1
OH3baEaklANPe1farAKgRg,McDonald's,Phoenix,AZ,85044.0,2.0,41.0,1
6g-ufVkF3gQjqfBjEzWPJw,Dickey's Barbecue Pit,Phoenix,AZ,85016.0,3.0,92.0,1
IHadZayuynmzIcQy9egKWg,KFC,Phoenix,AZ,85009.0,2.0,14.0,1
